scenario,mr1_before,mr2_before,sia_before,intervention,measles_averted_mean,measles_averted_sd,crs_averted_mean,daly_averted_mean,daly_averted_sd,cost_total_mean,cost_total_sd,cost_daly_corr,cost_per_daly_mean,cost_per_measles_mean
0,0.5987792522601674,0.8541272031677115,0.9058356786550147,sms_reminder,865.4833333333333,222.97327879267408,1.9314749999999998,271.1259050576304,66.96181088633422,32038.268398690525,368.0542783795302,0.6894110199276432,126.70010746742929,39.782326470526264
0,0.5987792522601674,0.8541272031677115,0.9058356786550147,chw_outreach,1409.95,216.76811150781995,2.8048799999999994,438.5294111228344,62.636963755400416,223433.7890919074,397.2268722246036,0.593955990930388,519.8722455211044,162.25468463561967
0,0.5987792522601674,0.8541272031677115,0.9058356786550147,sia_campaign,0.0,0.0,0.0,0.0,0.0,80000.0,0.0,0.0,80000000000.0,80000000000.0
0,0.5987792522601674,0.8541272031677115,0.9058356786550147,mr_six_month,688.0,175.5679355691124,1.308645,213.430066278824,50.877975680730856,49151.92219011959,319.4564141687163,-0.1760776188544022,246.2446571157807,77.61317620136347
1,0.7669176972294205,0.637905293939661,0.20335238231098265,sms_reminder,442.6,208.92911078481458,2.0788949999999997,148.739963854859,62.76362931322875,30692.361909076608,235.0854525743157,0.4768499684367861,372.9795863180231,1521882662.2555816
1,0.7669176972294205,0.637905293939661,0.20335238231098265,chw_outreach,841.9666666666667,206.225601923934,3.355950000000001,277.4147541554083,61.327425022016136,221280.97788178062,259.90979671721135,0.4479943990765784,840.4279669421503,280.9320287805394
1,0.7669176972294205,0.637905293939661,0.20335238231098265,sia_campaign,678.35,227.77385165993044,2.876055,225.09830245274162,69.04024542265138,85564.19065902798,1346.4488580144819,0.6921898318464476,427.039966492467,143.62911011298564
1,0.7669176972294205,0.637905293939661,0.20335238231098265,mr_six_month,691.2666666666667,187.18786166724476,1.8903299999999998,219.76420221421319,55.576480524510494,49770.577272761344,386.8087172539378,-0.15454251046248993,242.9293580622967,78.16629900694579
2,0.7700467722048802,0.40573302646933534,0.7361330346012319,sms_reminder,376.31666666666666,201.3108286263365,1.1177400000000002,120.45662287075328,57.91512207152314,30775.817863856453,237.2583073166922,0.41198249866493486,506456959.7861079,2032361574.0183532
2,0.7700467722048802,0.40573302646933534,0.7361330346012319,chw_outreach,607.6,207.18383141548472,1.5795000000000001,192.40679641096003,60.604236504853645,221321.4236551599,263.37742940808084,0.42996135129297425,1414.5717381697846,476.69572353993806
2,0.7700467722048802,0.40573302646933534,0.7361330346012319,sia_campaign,1.2666666666666666,9.72945128063357,0.043680000000000004,0.774527829406615,3.495168518339216,80000.0,0.0,0.0,73333335198.9374,78666666684.21053
2,0.7700467722048802,0.40573302646933534,0.7361330346012319,mr_six_month,800.4,172.01009660288355,1.78659,250.74087980983256,50.8021193960745,50086.558343100485,337.6637864456844,-0.2658300430735481,208.65583902568795,65.91636216706364
3,0.8863314025543808,0.7121784798207732,0.49573044823174117,sms_reminder,212.85,144.47927475362454,0.57447,67.59810641960969,42.254651200794946,30354.73825221002,210.48546119976135,0.4469467510948656,2014655452.8466887,4025204452.3850446
3,0.8863314025543808,0.7121784798207732,0.49573044823174117,chw_outreach,309.53333333333336,163.26414861267682,0.6838650000000001,96.90214893637406,47.6171647500675,220557.30124604402,248.87221461956196,0.39940293935511006,10846.057055647998,7343244896.943136
